Empresa;Formato;Versión;Fecha Creación;Fecha Modifica;Numero Sensores;Fecha de adcquisición;Ultimo dato;GMT;DT Mimimo;
CAE;DVD;1.02;23/10/2023 23:31;23/10/2023 23:31;1;20231022;23:55;-300;5;
N Sens;DT;Max;Hora Max;Min;Hora Min;00.00;00.05;00.10;00.15;00.20;00.25;00.30;00.35;00.40;00.45;00.50;00.55;01.00;01.05;01.10;01.15;01.20;01.25;01.30;01.35;01.40;01.45;01.50;01.55;02.00;02.05;02.10;02.15;02.20;02.25;02.30;02.35;02.40;02.45;02.50;02.55;03.00;03.05;03.10;03.15;03.20;03.25;03.30;03.35;03.40;03.45;03.50;03.55;04.00;04.05;04.10;04.15;04.20;04.25;04.30;04.35;04.40;04.45;04.50;04.55;05.00;05.05;05.10;05.15;05.20;05.25;05.30;05.35;05.40;05.45;05.50;05.55;06.00;06.05;06.10;06.15;06.20;06.25;06.30;06.35;06.40;06.45;06.50;06.55;07.00;07.05;07.10;07.15;07.20;07.25;07.30;07.35;07.40;07.45;07.50;07.55;08.00;08.05;08.10;08.15;08.20;08.25;08.30;08.35;08.40;08.45;08.50;08.55;09.00;09.05;09.10;09.15;09.20;09.25;09.30;09.35;09.40;09.45;09.50;09.55;10.00;10.05;10.10;10.15;10.20;10.25;10.30;10.35;10.40;10.45;10.50;10.55;11.00;11.05;11.10;11.15;11.20;11.25;11.30;11.35;11.40;11.45;11.50;11.55;12.00;12.05;12.10;12.15;12.20;12.25;12.30;12.35;12.40;12.45;12.50;12.55;13.00;13.05;13.10;13.15;13.20;13.25;13.30;13.35;13.40;13.45;13.50;13.55;14.00;14.05;14.10;14.15;14.20;14.25;14.30;14.35;14.40;14.45;14.50;14.55;15.00;15.05;15.10;15.15;15.20;15.25;15.30;15.35;15.40;15.45;15.50;15.55;16.00;16.05;16.10;16.15;16.20;16.25;16.30;16.35;16.40;16.45;16.50;16.55;17.00;17.05;17.10;17.15;17.20;17.25;17.30;17.35;17.40;17.45;17.50;17.55;18.00;18.05;18.10;18.15;18.20;18.25;18.30;18.35;18.40;18.45;18.50;18.55;19.00;19.05;19.10;19.15;19.20;19.25;19.30;19.35;19.40;19.45;19.50;19.55;20.00;20.05;20.10;20.15;20.20;20.25;20.30;20.35;20.40;20.45;20.50;20.55;21.00;21.05;21.10;21.15;21.20;21.25;21.30;21.35;21.40;21.45;21.50;21.55;22.00;22.05;22.10;22.15;22.20;22.25;22.30;22.35;22.40;22.45;22.50;22.55;23.00;23.05;23.10;23.15;23.20;23.25;23.30;23.35;23.40;23.45;23.50;23.55;
78652;5;;;;;177;170;168;165;161;158;156;152;150;149;142;142;140;137;134;132;130;127;126;123;121;119;120;117;117;115;116;113;115;113;114;113;113;113;114;114;115;116;117;119;118;119;123;123;125;126;129;128;131;134;136;139;143;144;146;150;152;155;158;161;164;167;169;173;178;180;184;187;189;194;198;200;204;207;210;212;218;221;223;227;230;231;237;237;242;241;246;249;249;253;257;257;261;260;263;266;265;267;268;267;272;269;271;269;272;271;270;272;271;270;271;269;268;266;267;265;265;261;260;261;257;255;254;249;252;247;245;243;239;237;233;232;229;224;222;218;214;212;209;204;202;199;196;193;188;185;180;177;173;171;163;164;159;156;151;151;147;140;140;137;134;130;129;124;123;122;119;118;114;116;110;110;108;110;105;106;104;104;103;104;101;104;102;102;102;104;103;104;104;105;105;108;106;111;111;114;116;117;120;122;124;125;130;132;134;137;140;142;147;148;151;154;159;158;167;168;172;174;179;181;186;187;194;197;201;205;209;214;212;222;225;223;231;234;236;240;242;242;249;249;250;256;253;259;261;262;265;263;270;268;271;277;273;275;277;277;276;279;276;280;285;274;281;281;274;280;275;276;274;271;276;267;265;271;260;265;260;258;259;251;249;250;242;244;239;234;236;231;
