Empresa;Formato;Versión;Fecha Creación;Fecha Modifica;Numero Sensores;Fecha de adcquisición;Ultimo dato;GMT;DT Mimimo;
CAE;DVD;1.02;17/10/2023 23:31;17/10/2023 23:31;1;20231016;23:55;-300;5;
N Sens;DT;Max;Hora Max;Min;Hora Min;00.00;00.05;00.10;00.15;00.20;00.25;00.30;00.35;00.40;00.45;00.50;00.55;01.00;01.05;01.10;01.15;01.20;01.25;01.30;01.35;01.40;01.45;01.50;01.55;02.00;02.05;02.10;02.15;02.20;02.25;02.30;02.35;02.40;02.45;02.50;02.55;03.00;03.05;03.10;03.15;03.20;03.25;03.30;03.35;03.40;03.45;03.50;03.55;04.00;04.05;04.10;04.15;04.20;04.25;04.30;04.35;04.40;04.45;04.50;04.55;05.00;05.05;05.10;05.15;05.20;05.25;05.30;05.35;05.40;05.45;05.50;05.55;06.00;06.05;06.10;06.15;06.20;06.25;06.30;06.35;06.40;06.45;06.50;06.55;07.00;07.05;07.10;07.15;07.20;07.25;07.30;07.35;07.40;07.45;07.50;07.55;08.00;08.05;08.10;08.15;08.20;08.25;08.30;08.35;08.40;08.45;08.50;08.55;09.00;09.05;09.10;09.15;09.20;09.25;09.30;09.35;09.40;09.45;09.50;09.55;10.00;10.05;10.10;10.15;10.20;10.25;10.30;10.35;10.40;10.45;10.50;10.55;11.00;11.05;11.10;11.15;11.20;11.25;11.30;11.35;11.40;11.45;11.50;11.55;12.00;12.05;12.10;12.15;12.20;12.25;12.30;12.35;12.40;12.45;12.50;12.55;13.00;13.05;13.10;13.15;13.20;13.25;13.30;13.35;13.40;13.45;13.50;13.55;14.00;14.05;14.10;14.15;14.20;14.25;14.30;14.35;14.40;14.45;14.50;14.55;15.00;15.05;15.10;15.15;15.20;15.25;15.30;15.35;15.40;15.45;15.50;15.55;16.00;16.05;16.10;16.15;16.20;16.25;16.30;16.35;16.40;16.45;16.50;16.55;17.00;17.05;17.10;17.15;17.20;17.25;17.30;17.35;17.40;17.45;17.50;17.55;18.00;18.05;18.10;18.15;18.20;18.25;18.30;18.35;18.40;18.45;18.50;18.55;19.00;19.05;19.10;19.15;19.20;19.25;19.30;19.35;19.40;19.45;19.50;19.55;20.00;20.05;20.10;20.15;20.20;20.25;20.30;20.35;20.40;20.45;20.50;20.55;21.00;21.05;21.10;21.15;21.20;21.25;21.30;21.35;21.40;21.45;21.50;21.55;22.00;22.05;22.10;22.15;22.20;22.25;22.30;22.35;22.40;22.45;22.50;22.55;23.00;23.05;23.10;23.15;23.20;23.25;23.30;23.35;23.40;23.45;23.50;23.55;
78652;5;;;;;114;120;122;128;132;138;141;147;153;158;164;170;175;181;186;192;198;203;208;213;219;225;230;235;241;246;253;257;263;268;274;278;282;287;293;296;301;303;307;311;311;317;318;321;323;325;326;328;330;330;331;330;331;331;330;332;331;329;329;325;326;324;322;320;317;315;312;309;304;302;297;295;288;285;280;276;272;267;262;258;252;246;242;235;229;224;217;213;206;198;194;188;182;176;172;164;159;152;147;142;136;130;126;121;116;111;106;101;97;92;90;85;82;78;74;71;69;65;63;62;59;57;56;54;53;52;52;50;50;50;51;52;53;54;54;57;59;60;62;64;67;70;73;76;80;84;87;91;96;100;105;110;115;121;126;132;137;143;148;153;160;165;171;177;183;188;194;198;205;210;217;221;228;234;238;245;250;255;260;267;271;275;280;283;287;291;295;299;301;305;307;310;313;315;317;319;320;323;323;323;323;325;323;323;325;324;323;321;321;318;316;315;312;309;308;304;301;298;293;290;285;283;278;273;269;263;259;254;250;245;240;235;230;224;218;213;209;202;197;192;187;180;176;170;164;159;154;150;144;140;136;130;126;120;116;112;109;105;101;97;94;92;88;85;82;81;78;76;74;73;72;72;71;70;70;71;71;71;72;73;75;77;78;80;83;85;88;90;
