Empresa;Formato;Versión;Fecha Creación;Fecha Modifica;Numero Sensores;Fecha de adcquisición;Ultimo dato;GMT;DT Mimimo;
CAE;DVD;1.02;02/10/2023 23:31;02/10/2023 23:31;1;20231001;23:55;-300;5;
N Sens;DT;Max;Hora Max;Min;Hora Min;00.00;00.05;00.10;00.15;00.20;00.25;00.30;00.35;00.40;00.45;00.50;00.55;01.00;01.05;01.10;01.15;01.20;01.25;01.30;01.35;01.40;01.45;01.50;01.55;02.00;02.05;02.10;02.15;02.20;02.25;02.30;02.35;02.40;02.45;02.50;02.55;03.00;03.05;03.10;03.15;03.20;03.25;03.30;03.35;03.40;03.45;03.50;03.55;04.00;04.05;04.10;04.15;04.20;04.25;04.30;04.35;04.40;04.45;04.50;04.55;05.00;05.05;05.10;05.15;05.20;05.25;05.30;05.35;05.40;05.45;05.50;05.55;06.00;06.05;06.10;06.15;06.20;06.25;06.30;06.35;06.40;06.45;06.50;06.55;07.00;07.05;07.10;07.15;07.20;07.25;07.30;07.35;07.40;07.45;07.50;07.55;08.00;08.05;08.10;08.15;08.20;08.25;08.30;08.35;08.40;08.45;08.50;08.55;09.00;09.05;09.10;09.15;09.20;09.25;09.30;09.35;09.40;09.45;09.50;09.55;10.00;10.05;10.10;10.15;10.20;10.25;10.30;10.35;10.40;10.45;10.50;10.55;11.00;11.05;11.10;11.15;11.20;11.25;11.30;11.35;11.40;11.45;11.50;11.55;12.00;12.05;12.10;12.15;12.20;12.25;12.30;12.35;12.40;12.45;12.50;12.55;13.00;13.05;13.10;13.15;13.20;13.25;13.30;13.35;13.40;13.45;13.50;13.55;14.00;14.05;14.10;14.15;14.20;14.25;14.30;14.35;14.40;14.45;14.50;14.55;15.00;15.05;15.10;15.15;15.20;15.25;15.30;15.35;15.40;15.45;15.50;15.55;16.00;16.05;16.10;16.15;16.20;16.25;16.30;16.35;16.40;16.45;16.50;16.55;17.00;17.05;17.10;17.15;17.20;17.25;17.30;17.35;17.40;17.45;17.50;17.55;18.00;18.05;18.10;18.15;18.20;18.25;18.30;18.35;18.40;18.45;18.50;18.55;19.00;19.05;19.10;19.15;19.20;19.25;19.30;19.35;19.40;19.45;19.50;19.55;20.00;20.05;20.10;20.15;20.20;20.25;20.30;20.35;20.40;20.45;20.50;20.55;21.00;21.05;21.10;21.15;21.20;21.25;21.30;21.35;21.40;21.45;21.50;21.55;22.00;22.05;22.10;22.15;22.20;22.25;22.30;22.35;22.40;22.45;22.50;22.55;23.00;23.05;23.10;23.15;23.20;23.25;23.30;23.35;23.40;23.45;23.50;23.55;
78652;5;;;;;71;77;83;89;95;100;107;113;119;126;132;139;147;153;160;168;175;184;191;198;206;214;222;229;237;245;253;260;267;274;282;289;295;302;308;314;321;326;333;337;342;348;351;357;360;364;369;371;375;377;379;379;383;383;385;385;386;386;385;385;384;382;380;377;374;371;368;365;361;357;353;349;345;339;332;328;323;315;308;303;296;289;284;275;268;261;252;246;238;231;223;215;208;201;192;186;178;170;163;155;148;140;133;125;117;111;104;97;90;85;79;74;68;62;57;51;48;43;39;35;31;28;25;23;21;19;17;16;14;14;13;12;13;13;13;14;16;17;20;22;25;27;31;35;39;42;46;51;56;60;66;70;76;82;88;94;100;107;114;120;128;136;142;149;156;164;171;178;185;193;201;208;216;223;231;236;244;252;258;264;271;278;285;291;296;302;308;314;318;323;328;332;336;339;344;347;350;353;356;359;361;363;363;364;364;365;365;365;363;363;361;360;356;355;354;347;347;342;340;336;331;328;322;318;312;308;302;296;291;283;277;272;264;257;252;244;238;230;223;215;209;201;193;187;180;172;165;158;151;144;138;131;123;118;111;105;99;94;88;82;76;71;66;62;58;54;51;47;43;41;38;36;34;32;30;30;28;29;27;29;28;29;28;31;32;34;35;39;
